"BehaviorSpace results (NetLogo 6.1.1)"
"YBC_Continuous_Breeding_20210413.nlogo"
"single_run_continuous_breeding"
"04/22/2021 10:19:59:008 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","within-group.contact","infection-length","group-size","rnot","age-repro","virulence","immunity-barrier","clan-number","between-group.contact","survival","fertility","frequency_transmission","fission","[step]","abundance","sealed","open","protected","nonprot","locked","count hyenas with [disease = ""infected""]","count hyenas with [disease = ""infected"" AND age > age-repro]","count hyenas with [disease = ""infected"" AND age <= age-repro]","count hyenas with [disease = ""recovered"" AND age > age-repro]","count hyenas with [disease = ""recovered"" AND age <= age-repro]","count hyenas with [disease = ""susceptible"" AND age > age-repro]","count hyenas with [disease = ""susceptible"" AND age <= age-repro]"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","0","0","0","0","0","0","0","1","0","1","0","0","371","628"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","0","0","0","0","0","0","0","1","1","0","0","0","357","642"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","1","1010","0","20","0","0","0","3","1","2","0","0","369","638"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","2","1020","0","20","0","0","0","5","0","5","0","0","370","645"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","1","1016","0","20","0","1","0","2","1","1","0","0","362","652"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","3","1026","0","20","0","0","0","9","0","9","0","0","369","648"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","2","1017","0","20","0","1","0","7","3","4","0","0","365","645"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","4","1026","0","20","0","0","0","20","3","17","0","0","369","637"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","3","1022","0","20","0","1","0","15","6","9","0","0","364","643"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","5","1020","0","20","0","0","0","41","12","29","0","0","359","620"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","4","1023","0","20","0","1","0","26","12","14","0","0","362","635"
