"BehaviorSpace results (NetLogo 6.1.1)"
"YBC_Continuous_Breeding_20210422_agerepro.nlogo"
"single_run_continuous_breeding"
"04/22/2021 10:43:12:247 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","within-group.contact","infection-length","group-size","rnot","age-repro","virulence","immunity-barrier","clan-number","between-group.contact","survival","fertility","frequency_transmission","fission","[step]","abundance","sealed","open","protected","nonprot","locked","count hyenas with [disease = ""infected""]","count hyenas with [disease = ""infected"" AND age > age-repro]","count hyenas with [disease = ""infected"" AND age <= age-repro]","count hyenas with [disease = ""recovered"" AND age > age-repro]","count hyenas with [disease = ""recovered"" AND age <= age-repro]","count hyenas with [disease = ""susceptible"" AND age > age-repro]","count hyenas with [disease = ""susceptible"" AND age <= age-repro]"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","0","0","0","0","0","0","0","1","1","0","0","0","368","631"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","0","0","0","0","0","0","0","1","0","1","0","0","354","645"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","1","1015","0","20","0","1","0","3","2","1","0","0","369","643"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","1","1015","0","20","0","1","0","3","0","3","0","0","355","657"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","2","1021","0","20","0","1","0","9","6","3","0","0","376","636"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","2","1021","0","20","0","1","0","7","1","6","0","0","358","656"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","3","1024","0","20","0","1","0","18","10","8","0","0","372","634"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","4","1024","0","20","0","1","0","30","15","15","0","0","368","626"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","3","1021","0","20","0","1","0","13","3","10","0","0","353","655"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","5","1016","0","20","0","1","0","48","18","30","0","0","360","608"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","4","1021","0","20","0","1","0","28","6","22","0","0","356","637"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","6","1008","0","20","0","1","0","76","30","46","0","0","346","586"
